Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Shukraidin Asenov,No info,No info,No info,No info
Iliya Ilchev,No info,No info,No info,No info
Muhamed Kyamil,No info,No info,No info,No info
John White,No info,No info,Reparto,No info
Kate Tickle,No info,No info,Reparto,"Killer Bitch, Choice, Zombie Run"
SarahTonin,No info,No info,Reparto,"The Blazing Cannons, Films Confiscated from a French Brothel, Cucumber"
Aris Servetalis,21 de diciembre de 1976,4 premios y 5 nominaciones,Reparto,"The Waiter, Alps, Apples"
Sofia Georgovassili,No info,2 premios y 7 nominaciones,"Reparto, Dirección, Guion","Proetoimasia, Mavro livadi, Anamniseis mias efivikis kataigidas"
Anna Kalaitzidou,No info,No info,Reparto,"Canino, Eteros ego, I anazitisi tis Lora Dourand"
Tiffany Vordjorbe,No info,1 premio,Reparto,No info
Anthony Barker,No info,1 premio,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Dirección de casting","Jericho, Ticking Hearts, Precinct 757"
Frances Owens,No info,No info,Reparto,"Precinct 757, Historias de ultratumba, Thanksgiving with the Carters"
Michele Abascal,No info,No info,Reparto,"Conversaciones, La erección de Toribio Bardelli, Contar el amor"
Christopher Aguilasocho,No info,No info,"Reparto, Equipos adicionales","El color de la pasión, Buscando a Mar, Mi lista de exes"
Tato Alexander,No info,1 premio,Reparto,"El Aire es Dulce Aquí, Negociando con mi mujer, Almas de la Niebla"
Lily Brown Griffiths,No info,No info,Reparto,"Queen of Oz, Brothers from Malta, The Gift That Gives"
Craig Walker,13 de noviembre,2 premios,"Reparto, Guion, Dirección de producción","Queen of Oz, Atomic Kingdom, El amor está en el aire"
Robin Royce Queree,No info,2 premios,"Reparto, Producción, Dirección","Life's a Drag, Australia, Gabriel"
Lena Urzendowsky,2000,10 premios y 2 nominaciones,"Reparto, Guion, Dirección","El despertar de Nora, Der große Rudolph, Das weiße Kaninchen"
Jella Haase,27 de octubre de 1992,13 premios y 9 nominaciones,"Reparto, Producción","¡Que te den, profe!, ¡Que te den, profe! 2, Kleo"
Lena Klenke,25 de diciembre de 1995,2 premios y 1 nominación,Reparto,"Victoria, ¡Que te den, profe!, ¡Que te den, profe! 2"
Matt Szakal,No info,No info,"Guion, Dirección, Reparto","Hara-Kiri, Crow, Road Runner"
Josh Bzura,No info,No info,"Reparto, Producción, Composición","Camp Murder, Saturnalia, Crow"
Justin Mane,28 de marzo de 1988,1 premio y 1 nominación,"Reparto, Especialistas, Casting","Crow, American Rust, Detroit"
Marianne Steinsrud,No info,No info,"Reparto, Producción",No info
Aron Ødegård,No info,No info,Reparto,No info
Jan Wehrmann,No info,No info,Reparto,"Askedager, Traicionados, Kongsvikfamiliene"
Taranjit Kaur,No info,1 premio,"Reparto, Guion, Producción","Ankhon Dekhi, Airlift, Kahaani"
