Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Carlo Arrigoni,No info,No info,"Reparto, Dirección de producción","Story of a Luthier, Piercing Stillness, The Scrupulous Torment of the Polite Man"
Alberto Bona,No info,1 premio,"Reparto, Producción, Guion","L'Assenza, The Darkness: Jussy's Girl, Piercing Stillness"
Federico Cicardi,No info,No info,"Guion, Dirección de arte, Reparto","Piercing Stillness, The Scrupulous Torment of the Polite Man, Story of a Luthier"
Maryna Koshkina,21 de mayo de 1993,2 premios y 2 nominaciones,Reparto,"Iz zavyazanymy ochyma, Zabuti, Silence"
Vasiliy Kukharskiy,No info,No info,Reparto,"Wataha, Maksym Osa, Toloka"
Danylo Kamenskyi,27 de octubre de 2000,1 premio,Reparto,"Zabuti, Toptun, Stronghold, el gigante de piedra"
Ernesto Nodal,No info,No info,"Reparto, Equipos adicionales","Graceland, Divorce, Fallen Brother"
Sofya Nova,No info,No info,"Reparto, Equipos adicionales","Vera, Crowddating, Danny"
Kenneth Ross,No info,No info,"Reparto, Producción, Dirección","Bluefish, Block, Highpothetically"
Rubén Cristiany,No info,No info,Reparto,"El Pantera, Ladrón de Corazones, Hora marcada"
Daniela García,No info,No info,Reparto,No info
Lariza Mendizábal,No info,No info,Reparto,"Lo que la gente cuenta, Ni una vez más, La vida es una canción"
Boncuk Yilmaz,13 de mayo de 1981,1 premio y 2 nominaciones,"Reparto, Banda sonora","Karpuz Kabugundan Gemiler Yapmak, Mi otra yo, Çukur"
Benian Dönmez,No info,No info,Reparto,"Kara Bela, Aci Kahve, Three Sisters"
Sahin Ergüney,No info,No info,Reparto,"Kurtulus, Destan, Amor de contrabando"
Paulina Dávila,18 de diciembre de 1988,1 nominación,"Reparto, Producción","Que viva la música, Después De Ti, Amor es amor"
Juan Pablo Medina,22 de octubre de 1977,3 nominaciones,"Reparto, Producción","La casa de las flores, El Club de los Idealistas, Se busca papá"
Alana Grace,No info,3 premios y 2 nominaciones,"Reparto, Producción, Guion","The Strangers We Know, Uno para todas, Country Strong"
John Fairbairn,No info,1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion","The Strangers We Know, Bart Seven Is Offline, The Heather Files"
Rachel McGuinness,No info,1 premio,Reparto,"I Did Not Forget You, Deal Me, 09.05.57"
Mark Harley,No info,No info,"Reparto, Guion","Los juegos del resacón, Perfect Sport, Seasons of War"
Logan Laurel,No info,No info,Reparto,"The Sixth Floor, The 3rd Guest, Girl with a Deadly Past"
Annika Marks,12 de agosto,6 premios y 3 nominaciones,"Reparto, Guion, Producción","Las sesiones, Waco, Killing Eleanor"
Elvis Alexander,No info,No info,Reparto,No info
Mime Gopi,29 de junio de 1975,1 premio,Reparto,"Pushpa: The Rise - Part 1, Salaar. Part 1 - Ceasefire, Varisu"
Aindhu Kovilan,No info,No info,Reparto,No info
Eric Michael Federman,No info,3 premios,"Reparto, Sonido, Dirección","Project Elementals, Borrowed Vengeance, Stereotyped: The TV Show"
Greg Simmonds,No info,No info,"Reparto, Música, Dirección","The Donut Heist, Scarlet Samurai: Incarnation, Legend of the Red Reaper"
Marco Schiazza,No info,1 premio,"Reparto, Guion, Producción","Statute of Limitations, La oferta, To Tell the Truth"
Arron Barber-Stephens,No info,No info,"Reparto, Equipos adicionales, Dirección","The Assist, Wade's World, Chopped U"
Eric Michael Federman,No info,3 premios,"Reparto, Sonido, Dirección","Project Elementals, Borrowed Vengeance, Stereotyped: The TV Show"
Kara Bruntz,No info,No info,Reparto,No info
Laura Kathleen Dial,No info,No info,"Reparto, Equipos adicionales","Waiting for Reneau, Teacher's Lounge, The Writer"
Justin Hughes,No info,No info,Reparto,"What Doesn't Kill Us, The Writer, Masks"
Jay Pace,No info,No info,Reparto,"It's Stranger Than We Thought, She Was Insane, I'm a Mess"
Monica Phillips,No info,2 premios y 2 nominaciones,"Reparto, Guion, Dirección","Dr. Monsanto or: How I Learned to Stop Streaming and Love the Virus, The First Ever Virtual Sketch Show, Here for You"
Predrag Bjelac,30 de junio de 1962,1 nominación,"Reparto, Equipos adicionales, Banda sonora","Harry Potter y el cáliz de fuego, Killing Eve, Gangster Ka"
Petr Franek,No info,No info,Reparto,"Xia dao lian meng, Znamení kone, El informante"
Jana Plodková,5 de agosto de 1981,1 premio y 5 nominaciones,"Reparto, Guion, Banda sonora","Protektor, Prag, Ztraceni v Mnichove"
Rachelle Henry,16 de diciembre de 2000,7 premios y 15 nominaciones,"Reparto, Guion, Edición","La costa de los mosquitos, Dead to Me, Gaslit"
Ronee Collins,No info,No info,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Kola, Highlander: Hans Kirschner, Old Man Jackson"
Bill Read Jr.,No info,No info,"Reparto, Dirección, Guion","Winters Edge, C.A.T.S, Blood for Blood"
Mylène Amyot,No info,No info,Reparto,"S'échapper vers la Vie, Jamais trois sans toi..., BB/MA"
Pierre-François Bouffard,No info,2 premios y 2 nominaciones,"Reparto, Cámara y electricidad","Spleen, Bonne Personne, La Fin du Monde"
Frank Jendrzytza,No info,No info,Reparto,"Ich bin an Weihnachten allein in Berlin, Traumnovelle, Blutsverwandte"
Bastian Scheibe,No info,No info,"Reparto, Edición, Producción","Der Perfektionist, Der Liebesbaum, The Passenger"
Harry Chambarry,No info,No info,"Reparto, Producción, Guion","Bull, Sexo en Nueva York, Ley y orden: Unidad de Víctimas Especiales"
Jordan Gosnell,21 de enero,1 premio y 1 nominación,"Edición, Reparto, Producción","Handheld, Like Daughter, Like Mother, Nashville"
Jessica Alexandra Green,No info,16 premios y 9 nominaciones,"Reparto, Edición, Dirección","A Very Nutty Christmas, Presa de una obsesión, Remains"
Cuete Yeska,No info,1 premio,"Reparto, Producción, Guion","Cuenta pendiente, Better Things, On My Block"
Glenn Plummer,18 de agosto de 1961,2 premios y 2 nominaciones,"Reparto, Dirección, Producción","Días extraños, Showgirls, Speed: Máxima potencia"
Cesar Garcia,No info,1 premio,"Reparto, Especialistas, Producción","Fast & Furious: Aún más rápido, Breaking Bad, Círculo"
Jeremy Lee C.,No info,No info,"Reparto, Dirección, Guion","Way Out There, Akrasia, As Simple As Hello"
McKenna Stoffer,No info,No info,Reparto,"I Only Want You, The Enormity of Life, Cadia: The World Within"
Bryan Lewis,No info,No info,Reparto,No info
Zachary Levi,29 de septiembre de 1980,3 premios y 23 nominaciones,"Reparto, Producción, Dirección","¡Shazam!, Chuck, Enredados"
Mark Strong,5 de agosto de 1963,3 premios y 11 nominaciones en total,"Reparto, Producción","1917, ¡Shazam!, Kingsman: Servicio secreto"
Asher Angel,6 de septiembre de 2002,2 premios y 1 nominación,"Reparto, Banda sonora, Producción","¡Shazam!, Andi Mack, ¡Shazam! La furia de los dioses"
Colson Baker,22 de abril de 1990,8 premios y 12 nominaciones,"Reparto, Composición, Dirección","The Dirt, Good Mourning, Proyecto Power"
