Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Tick Tick Tick,Yuan Shing Kong,No info,Yuan Shing Kong,"Grace received a mysterious box from a college friend whom she knew years ago and discovered that the box gave out a ticking sound. Together with her brother, Jason, they try to figure out the box.",7m
Hélène,No info,No info,Yuan Shing Kong,,52m
Cell,Tod Williams,4.4,"Stephen King, Adam Alleca","When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.",1h 38m
Travis,David BlairAdam Pitman,3.7,"David Blair, Adam Pitman, Adam Stilwell","One year after seven local students are inexplicably murdered at a lake house party near the Canadian border, recent high school grads Travis and his buddy Nate plan a celebratory road trip to Canada. While cutting through the woods at night, the two friends are savagely attacked by mysterious creatures and Nate is dragged off leaving Travis- to run for help. After Tr... Read all",1h 38m
The Bystander,EJ Levy,8.2,EJ Levy,"Tired of being harassed and bullied at school, a disturbed teenager sets his sights on the very people who caused him the pain and grief he experiences on a daily basis, by brutally murdering them one by one. It is up to one person to stop this storm of terror, and to save his friends along the way.",10m
Cynical Annihilation: Pandora's Box,Aaron Mak,No info,"Aaron Mak, Josh Mak","A girl finds herself stalked by a mysterious and nightmarish figure. As she attempts to escape it, she finds herself stuck in a loop that she can't escape out of.",2m
Damned Gold,Tsogiin Khuselbaatar,No info,Tsogiin Khuselbaatar,Khuder must navigate the worlds of organized crime and the supernatural after escaping from a mental institution.,1h 26m
Felak,No info,No info,Tsogiin Khuselbaatar,,1h 9m
House Warming Gift,Moses Bernal,No info,Jordan Stelck,,No info
The Apparition,Dalei Guo,No info,"Susan Dewey, Dalei Guo, Xiong Jianan",,1h 32m
Wan ming ju zu,Dewei Li,No info,Dewei Li,,1h 29m
From Inside,No info,No info,Dewei Li,,4m
The Pursuer,No info,No info,Dewei Li,,No info
Behind,Elias Homsi,No info,Elias Homsi,,17m
First Day at Work,Alex Furnas,No info,Alex Furnas,Tim's new job gets off to a rocky start.,9m
Hantu Cantik Kok Ngompol,No info,No info,Alex Furnas,,No info
New Rug,Tim Schauer,No info,Tim Schauer,,No info
No info,No info,No info,No info,No info,No info
Wu ye xun fang lu,Tianrong Liu,No info,Tianrong Liu,"TV reporter Xiao Guang and his companions Fang Hong and Xiao Bin head to a mountain village to interview its inhabitants, but something creepy happens to them there.",1h 50m
The Haunted Ambulance,No info,No info,Tianrong Liu,,4m
Daddy Red Face,Zane Hampton,No info,Zane Hampton,On a dark night in October a responding Police Officer arrives on a strange crime scene with the tell tale signs of a dangerous criminal gone insane.,3m
